Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
Silver Collector,シルバーコレクター,32.1,32,1178,Master,496,
Protodisco,プロトディスコ,32.1,32,1057,Master,561,
Showtime Ruler,ショウタイム・ルーラー,32.1,APD 31,1163,Append,160,
snooze,snooze,32.0,32,1142,Master,554,
Kaiju ni Naritai,怪獣になりたい,32.0,32,1600,Expert,671,
hot wind,熱風,32.0,APD 31,1207,Append,489,
EGOIST,エゴイスト,31.9,31+,1548,Master,299,
junky nighttown orchestra,ジャンキーナイトタウンオーケストラ,31.9,31+,1374,Master,84,
Fräulein=библиотека,フロイライン＝ビブリォチカ,31.9,31+,1456,Master,251,
Positive☆Dance Time,ポジティブ☆ダンスタイム,31.9,31+,1154,Master,122,
Colorful Marine Snow,君色マリンスノウ,31.9,31+,1415,Master,206,
Law-evading Rock,脱法ロック,31.9,31+,1145,Master,21,
Stella,ステラ,31.9,APD 31,1553,Append,64,
SHOW OFF,てらてら,31.9,APD 31,1450,Append,257,
Ego rock,エゴロック,31.8,31+,1277,Master,225,
Alter Ego,オルターエゴ,31.8,31+,1557,Master,167,
Kagerou Daze,カゲロウデイズ,31.8,31+,1404,Master,171,
Greenlights Serenade,グリーンライツ・セレナーデ,31.8,31+,1174,Master,46,
Zunda Party Night,ずんだパーリナイ,31.8,31+,1522,Master,379,
ONLINE GAME ADDICTS SPRECHCHOR,ネトゲ廃人シュプレヒコール,31.8,31+,1463,Master,298,
Rule Book,ルルブ,31.8,31+,1296,Master,587,
BAKENOHANA,化けの花,31.8,31+,1003,Master,549,
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を,31.8,31+,1164,Master,154,
Tokugawa Cupnoodle Prohibition,徳川カップヌードル禁止令,31.8,31+,1241,Master,234,
MACHINEGUN POEM DOLL,マシンガンポエムドール,31.8,31+,1730,Expert,176,
YAMINABE!!!!!,ヤミナベ!!!!,31.8,31+,1539,Expert,329,
Gehenna,ジェヘナ,31.8,APD 31,1633,Append,272,
KLY,一千光年,31.8,APD 31,1496,Append,439,
Senbonzakura,千本桜,31.8,APD 31,1230,Append,110,
Mr. Showtime,Mr. Showtime,31.7,31+,1497,Master,333,
Chururira Chururira Daddadda!,チュルリラ・チュルリラ・ダッダッダ！,31.7,31+,1401,Master,88,
Cirno's Perfect Math Academy,チルノのパーフェクトさんすう学園,31.7,31+,1199,Master,624,
Touhou☆Wonderland,とうほう☆ワンダーランド,31.7,31+,1086,Master,623,
TRASH and TRASH!,トラッシュ・アンド・トラッシュ！,31.7,31+,1181,Master,335,
Your Adventure Log Has Vanished!,ぼうけんのしょがきえました！,31.7,31+,1092,Master,78,
Mesmerizer,メズマライザー,31.7,31+,1451,Master,531,
syndrome,心泥夢(syndrome),31.7,31+,1383,Master,444,
Tokyo Teddy Bear,東京テディベア,31.7,31+,1449,Master,396,
My love is Hellfire,私の恋はヘルファイア,31.7,31+,1638,Master,301,
Denkoh Sekka,電光刹歌,31.7,31+,1472,Master,685,
End Mark ni Kibou to Namida wo soete,エンドマークに希望と涙を添えて,31.7,31+,1553,Expert,162,
Masquerade,Masquerade,31.7,APD 31,1282,Append,746,
D/N/A,D/N/A,31.6,31+,1276,Master,596,
Happy Halloween,Happy Halloween,31.6,31+,987,Master,172,
I know I know.,I know 愛脳.,31.6,31+,1119,Master,504,
imaginary love story,imaginary love story,31.6,31+,1214,Master,420,
Life Will Change,Life Will Change,31.6,31+,1118,Master,648,
Queen of Hearts,クイーンオブハート,31.6,31+,1212,Master,592,
Genten,げんてん,31.6,31+,1138,Master,669,
Showtime Ruler,ショウタイム・ルーラー,31.6,31+,1063,Master,160,
The peachy key,ももいろの鍵,31.6,31+,1187,Master,308,
Losstime Memory,ロスタイムメモリー,31.6,31+,1314,Master,750,
Ichiokunen Koi Shiteru,一億年恋してる,31.6,31+,1310,Master,795,
Hikyou Sentai Urotander,卑怯戦隊うろたんだー,31.6,31+,1148,Master,661,
The Gardener's Story,庭師のおはなしによると,31.6,31+,1185,Master,633,
SEIBAIITAAAAASU!,成敗いたAAAAAす！,31.6,31+,1199,Master,472,
Kimagure Mercy,気まぐれメルシィ,31.6,31+,1465,Master,281,
ARE YOU OK?,ダイジョブですか？,31.6,31+,1495,Expert,487,
Bad Apple!! feat.SEKAI,Bad Apple!! feat.SEKAI,31.6,APD 31,1328,Append,501,
Viva Happy,ビバハピ,31.6,APD 31,884,Append,11,
Pentatonic,ペンタトニック,31.6,APD 31,1288,Append,585,
Tonal Twinkle Tetrad,世界を照らすテトラッド,31.6,APD 30,1210,Append,411,
HERO,HERO,31.5,31,1278,Master,414,
I am you,Iなんです,31.5,31,1066,Master,304,
Vampire's ∞ pathoS,Vampire's ∞ pathoS,31.5,31,1100,Master,334,
Unhappy Refrain,アンハッピーリフレイン,31.5,31,1353,Master,288,
Medicine,イガク,31.5,31,1226,Master,515,
OKOCHAMA SENSO,おこちゃま戦争,31.5,31,1394,Master,307,
Play-With-Fire,ヒアソビ,31.5,31,1116,Master,433,
Fräulein=Ojousama,フロイライン＝オジョウサマ,31.5,31,1234,Master,714,
Poppin' Candy☆Fever!,ポッピンキャンディ☆フィーバー！,31.5,31,1323,Master,494,
Liar Dancer,ライアーダンサー,31.5,31,1224,Master,509,
Rollin Girl,ローリンガール,31.5,31,1396,Master,113,
Wanderlast,ワンダーラスト,31.5,31,1577,Master,711,
Angel's Clover,天使のクローバー,31.5,31,1235,Master,112,
Brain Revolution Girl,脳内革命ガール,31.5,31,1269,Master,344,
Music Like Magic!,魔法みたいなミュージック！,31.5,31,1271,Master,317,
the EmpErroR,the EmpErroR,31.5,31,1223,Expert,163,
What's up? Pop!,What's up? Pop!,31.5,31,1804,Expert,315,
JINSEI [Our Life],人生,31.5,31,1441,Expert,370,
Totemoitai Itagaritai,とても痛い痛がりたい,31.5,APD 30,1226,Append,94,
99 Glooms,99 Glooms,31.4,31,1347,Master,749,
Nyanyanyanyanyanyanya!,Nyanyanyanyanyanyanya!,31.4,31,1188,Master,713,
I Maker!,アイ・メイカー！,31.4,31,1255,Master,741,
Ángel,アンヘル,31.4,31,1187,Master,562,
Override,オーバーライド,31.4,31,1265,Master,521,
Gehenna,ジェヘナ,31.4,31,1253,Master,272,
Soudatta!!,そうだった！！,31.4,31,1297,Master,165,
We are Different !!! (or Same),ちがう!!!,31.4,31,1074,Master,475,
Tokimeki Jet Coaster,ときめきジェットコースター,31.4,31,1234,Master,428,
Theme of Niccori Survey Team,にっこり^^調査隊のテーマ,31.4,31,1195,Master,178,
Lower one's eyes,ロウワー,31.4,31,850,Master,187,
Rocket Cider,ロケットサイダー,31.4,31,1350,Master,665,
Teenager's Heartbeat,十六歳の心臓,31.4,31,1470,Master,468,
Butterfly on Your Right Shoulder,右肩の蝶,31.4,31,1315,Master,177,
Devil's Manner,悪魔の踊り方,31.4,31,938,Master,133,
shinjinrui,新人類,31.4,31,1298,Master,381,
Incomplete Anthem,未完成讃歌,31.4,31,1585,Master,254,
Seikai,正解,31.4,31,1210,Master,804,
Ogyarinizer,おぎゃりないざー,31.4,31,1387,Expert,486,
Hatsune Kyousoukyoku Dai 01-ban 「Suisei」,初音狂奏曲第01番「彗惺」,31.4,31,1581,Expert,755,
Flyway,Flyway,31.4,APD 30,1396,Append,310,
Kugutsu no Utsutsu,傀儡のうつつ,31.4,APD 30,892,Append,735,
limbo,limbo,31.3,31,958,Master,416,
Polar Star,Polar Star,31.3,31,1106,Master,610,
Kyu-kurarin,きゅうくらりん,31.3,31,1148,Master,361,
Cosmospice,コスモスパイス,31.3,31,1092,Master,233,
Suicide Parade,スーサイドパレヱド,31.3,31,1063,Master,606,
All I Need are Things I Like,すきなことだけでいいです,31.3,31,1223,Master,367,
Non-breath oblige,ノンブレス・オブリージュ,31.3,31,1203,Master,268,
Violence Trigger,バイオレンストリガー,31.3,31,1421,Master,703,
MORE! JUMP! MORE!,モア！ジャンプ！モア！,31.3,31,1257,Master,99,
Yankee Boy Yankee Girl,ヤンキーボーイ・ヤンキーガール,31.3,31,1087,Master,586,
Tonal Twinkle Tetrad,世界を照らすテトラッド,31.3,31,1072,Master,411,
Awaiting Clear Skies,霽れを待つ,31.3,31,1106,Master,97,
Mahou Shoujo Koufukuron,魔法少女幸福論,31.3,31,1115,Master,715,
Regulus,レグルス,31.3,APD 30,1268,Append,423,
Lower one's eyes,ロウワー,31.3,APD 30,1045,Append,187,
Additional Memory,アディショナルメモリー,31.2,31,1226,Master,751,
kitty,キティ,31.2,31,982,Master,353,
KILLER,キラー,31.2,31,1013,Master,474,
Parry,パリィ,31.2,31,1024,Master,553,
SAI LOVE JINSEI RUNNER,最愛人生ランナー,31.2,31,1217,Master,689,
Close to gray,限りなく灰色へ,31.2,31,849,Master,90,
Nekuratune Circus,ネクラチューンサーカス,31.2,31,1380,Expert,668,
JOUOU,嬢王,31.2,31,1266,Expert,465,
The Bubble Future,泡沫未来,31.2,APD 30,1070,Append,151,
ARQETYPE,ARQETYPE,31.1,31,951,Master,406,
Identity,アイデンティティ,31.1,31,1489,Master,231,
Accelerate,アクセラレイト,31.1,31,917,Master,583,
Abelia,アベリア,31.1,31,1238,Master,677,
Pulse of the Meteor,流星のパルス,31.1,31,1123,Master,173,
Kuronuri Sekai ate Shokan,黒塗り世界宛て書簡,31.1,31,1201,Master,704,
0.0000034,0.0000034,31.1,31,1634,Expert,691,
Hollow,虚ろを扇ぐ,31.1,APD 30,1233,Append,280,
Blackjack,Blackjack,31.0,31,1021,Master,542,
Memoria,メモリア,31.0,31,1637,Expert,488,
As You Like It,お気に召すまま,31.0,APD 30,1003,Append,106,
MORE! JUMP! MORE!,モア！ジャンプ！モア！,31.0,APD 30,1518,Append,99,
BRING IT ON,劣等上等,31.0,APD 30,939,Append,26,
Opera! Space Opera!,オペラ！スペースオペラ！,30.9,30+,1198,Master,450,
Salamander,サラマンダー,30.9,30+,1454,Master,230,
Parasol Cider,パラソルサイダー,30.9,30+,880,Master,264,
Hurray,フレー,30.9,30+,1328,Master,302,
Hated by Life,命に嫌われている,30.9,30+,979,Master,22,
WAVE,WAVE,30.9,APD 30,1029,Append,522,
Dramaturgy,ドラマツルギー,30.9,APD 30,931,Append,91,
Aoku Kakero!,青く駆けろ！,30.9,APD 30,1446,Append,93,
Disco No.39,Disco No.39,30.8,30+,1115,Master,399,
Glory Steady Go!,Glory Steady Go!,30.8,30+,875,Master,166,
Goodbye Declaration,グッバイ宣言,30.8,30+,1259,Master,198,
Sick of House!,しっくおぶはうす！,30.8,30+,1313,Master,185,
Blue Planet,ブループラネット,30.8,30+,1357,Master,357,
World's End Dancehall,ワールズエンド・ダンスホール,30.8,30+,1044,Master,119,
World Lampshade[reunion],ワールド・ランプシェード [reunion],30.8,30+,1155,Master,534,
BRING IT ON,劣等上等,30.8,30+,952,Master,26,
Yobanashi Deceive,夜咄ディセイブ,30.8,30+,1311,Master,81,
Empurple,エンパープル,30.8,APD 30,1126,Append,507,
Samsa,ザムザ,30.8,APD 30,1105,Append,300,
Uka,羽歌,30.8,APD 30,944,Append,740,
STAGE OF SEKAI,STAGE OF SEKAI,30.7,30+,1156,Master,159,
the WALL,the WALL,30.7,30+,1019,Master,259,
NEXT NEST,ネクストネスト,30.7,30+,1131,Master,43,
BURIKI NO DANCE,ブリキノダンス,30.7,30+,967,Master,38,
HAVEN,ヘイヴン,30.7,30+,977,Master,508,
Milk Crown on Sonechka,ミルククラウン・オン・ソーネチカ,30.7,30+,1226,Master,107,
Composing the Future,悔やむと書いてミライ,30.7,30+,973,Master,60,
Singing of a flower,花を唄う,30.7,30+,878,Master,137,
The Intense Voice of Hatsune Miku,初音ミクの激唱,30.7,30+,1520,Expert,131,
Flyer!,Flyer!,30.7,APD 30,1189,Append,182,
Integral,インテグラル,30.7,APD 29,1357,Append,424,
Wah Wah World,ワーワーワールド,30.7,APD 29,1170,Append,77,
magic number,magic number,30.6,30+,988,Master,161,
ONESELF,ONESELF,30.6,30+,1163,Master,227,
SnowMix♪,SnowMix♪,30.6,30+,1441,Master,327,
Voices,Voices,30.6,30+,1237,Master,236,
Unknown Mother-Goose,アンノウン・マザーグース,30.6,30+,1292,Master,115,
Eternal Aria,エターナルアリア,30.6,30+,1364,Master,364,
SHANTI,シャンティ,30.6,30+,1187,Master,276,
Stardust Medley,スターダストメドレー,30.6,30+,1366,Master,380,
Stella,ステラ,30.6,30+,1190,Master,64,
Dance Robot Dance,ダンスロボットダンス,30.6,30+,1057,Master,68,
Vocalo-Colosseum,ぼかろころしあむ,30.6,30+,870,Master,692,
Miracle Paint,ミラクルペイント,30.6,30+,1437,Master,36,
Lavie,ラヴィ,30.6,30+,1281,Master,723,
Last Score,ラストスコア,30.6,30+,1190,Master,197,
Shoujo A,少女A,30.6,30+,1312,Master,666,
Stardust Utopia,星屑ユートピア,30.6,30+,1308,Master,261,
Shama,紗痲,30.6,30+,1192,Master,620,
Ura-Omote Lovers,裏表ラバーズ,30.6,30+,1151,Master,114,
Don't Fight The Music,Don't Fight The Music,30.6,30+,1545,Expert,164,
DAYBREAK FRONTLINE,DAYBREAK FRONTLINE,30.6,APD 29,1352,Append,253,
Yoidore Shirazu,酔いどれ知らず,30.6,APD 29,1120,Append,441,
KING,KING,30.5,30,1251,Master,138,
O-Barcode,オーバーコード,30.5,30,1253,Master,446,
All-Save Challenge,オールセーブチャレンジ,30.5,30,918,Master,538,
Hikari no Atsumekata,ひかりのあつめかた,30.5,30,1127,Master,757,
Pheles,フェレス,30.5,30,1397,Master,291,
BLOOD DOLL,ブラッドドール,30.5,30,1058,Master,656,
Rainy Snowdrop,レイニースノードロップ,30.5,30,1495,Master,283,
Synthesize You,合成するミライ,30.5,30,1094,Master,512,
Kimi ga Tobioriru no Nara,君が飛び降りるのならば,30.5,30,1224,Master,641,
Chu! Future☆Express!,,30.5,30,1287,Master,701,
YY,YY,30.5,APD 29,1249,Append,266,
TOKIO FUNKA,トキヲ・ファンカ,30.5,APD 29,997,Append,150,
"Help me, ERINNNNNN!!","Help me, ERINNNNNN!!",30.4,30,1318,Master,502,
RAD DOGS,RAD DOGS,30.4,30,1197,Master,101,
T-shi no Hanashi wo Shinjiru na,T氏の話を信じるな,30.4,30,1089,Master,727,
Attract Light,アトラクトライト,30.4,30,1455,Master,321,
Envy Cat Walk,エンヴィキャットウォーク,30.4,30,1222,Master,595,
Saitama 2000,さいたま2000,30.4,30,1021,Master,707,
Lose The Princess,さよならプリンセス,30.4,30,1131,Master,413,
Secret Seeker,シークレット・シーカー,30.4,30,1019,Master,569,
Jet Black,ジェットブラック,30.4,30,1337,Master,687,
Pentatonic,ペンタトニック,30.4,30,1103,Master,585,
Raspberry＊Monster,ラズベリー＊モンスター,30.4,30,1410,Master,705,
Lost Umbrella,ロストアンブレラ,30.4,30,926,Master,551,
Kimi ni Okuru Mirai,君に贈る未来,30.4,30,1195,Master,802,
Tensai Rock,天才ロック,30.4,30,1327,Master,631,
THE END OF HATSUNE MIKU,初音ミクの消失,30.4,30,1502,Expert,49,
Cinema,シネマ,30.4,APD 29,992,Append,126,
Ifuudoudou,威風堂々,30.4,APD 29,1269,Append,95,
Calc.,Calc.,30.3,30,1295,Master,243,
Decade,Decade,30.3,30,1057,Master,319,
Masquerade,Masquerade,30.3,30,1015,Master,746,
METEOR,METEOR,30.3,30,1323,Master,337,
Anti Sainou,アンチサイノウ,30.3,30,854,Master,788,
Antenna 39,アンテナ39,30.3,30,1139,Master,525,
"E? Ah,sou.",え？あぁ、そう。,30.3,30,1028,Master,437,
All in One,オールイン・ワン,30.3,30,1357,Master,760,
Kareshi no Jude,カレシのジュード,30.3,30,1271,Master,652,
Showtime×Audience,ショウタイム×オーディエンス,30.3,30,1220,Master,440,
SlowDowner,スロウダウナー,30.3,30,1418,Master,378,
DarlingDance,ダーリンダンス,30.3,30,912,Master,168,
Teammates,チームメイト,30.3,30,1090,Master,374,
SHOW OFF,てらてら,30.3,30,1262,Master,257,
Panda Hero,パンダヒーロー,30.3,30,1003,Master,566,
Fish and Tips,フィッシュアンドTips,30.3,30,1052,Master,626,
Fusion,フュージョン,30.3,30,1184,Master,555,
Star of Heaven,みかぼし,30.3,30,1114,Master,518,
Ruma,ルマ,30.3,30,1143,Master,601,
KLY,一千光年,30.3,30,1141,Master,439,
Hitomania,人マニア,30.3,30,1049,Master,664,
mousou aspartame,妄想アスパルテーム,30.3,30,1134,Master,544,
Selfish princess,我儘姫,30.3,30,1188,Master,376,
Starry Melancolia,星宙メランコリア,30.3,30,1166,Master,608,
Hikaku Shoukougun,比較症候群,30.3,30,1125,Master,712,
Eien Hanahadashii,永遠甚だしい,30.3,30,1116,Master,706,
The Bubble Future,泡沫未来,30.3,30,903,Master,151,
Konton Boogie,混沌ブギ,30.3,30,1189,Master,499,
Artifact,,30.3,30,1139,Master,694,
TETORIS,テトリス,30.3,APD 29,938,Append,627,
hug,はぐ,30.3,APD 29,983,Append,429,
Happy Synthesizer,ハッピーシンセサイザ,30.3,APD 29,1205,Append,10,
M@GICAL☆CURE! LOVE ♥ SHOT!,M@GICAL☆CURE! LOVE ♥ SHOT!,30.2,30,1215,Master,552,
SHIAWASE FOR YOU!,SHIAWASE FOR YOU!,30.2,30,961,Master,719,
Achikochi Date-san,あちこちデートさん,30.2,30,829,Master,516,
Alkali Rettousei,アルカリレットウセイ,30.2,30,1211,Master,726,
Explore,エクスプロウル,30.2,30,1102,Master,636,
Cute Na Kanojo,キュートなカノジョ,30.2,30,1208,Master,391,
CYBER PUNK DEAD BOY,サイバーパンクデッドボーイ,30.2,30,1014,Master,452,
Samsa,ザムザ,30.2,30,937,Master,300,
"Still, we never stop singing",それでも僕らは歌うことをやめない,30.2,30,814,Master,524,
Daidaidaidaidai Kirai,ダイダイダイダイダイキライ,30.2,30,875,Master,722,
Pamela,パメラ,30.2,30,1039,Master,653,
Piano × Forte × Scandal,ピアノ×フォルテ×スキャンダル,30.2,30,1142,Master,222,
White Happy,ホワイトハッピー,30.2,30,1044,Master,651,
MATORYOSHKA,マトリョシカ,30.2,30,1104,Master,221,
Relayouter,リレイアウター,30.2,30,1203,Master,435,
Rin-chan Now!,リンちゃんなう！,30.2,30,1409,Master,303,
Into The Night,夜に駆ける,30.2,30,1140,Master,139,
Doukaai,導火愛,30.2,30,963,Master,737,
Tokyo Summer Session,東京サマーセッション,30.2,30,1073,Master,621,
Transparent Elegy,透明エレジー,30.2,30,1058,Master,520,
folern,folern,30.2,30,1392,Expert,447,
Kusare-gedou and Chocolate,腐れ外道とチョコレゐト,30.2,30,1396,Expert,250,
Beyond the way,Beyond the way,30.2,APD 29,1017,Append,398,
Gimme more!,Gimme more!,30.2,APD 29,1183,Append,756,
